"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"D9","SOD323","10228.346","7649.606","TopLayer","0"
"D10","SOD523","8025.591","8074.803","TopLayer","0"
"D12","SMC","11098.425","7204.724","TopLayer","90"
"D13","P600_VERTICAL","8046.654","6456.693","TopLayer","180"
"D14","SOD523","8025.591","8232.283","TopLayer","0"
"D15","3SOT23","14456.693","5114.173","TopLayer","270"
"D16","ESMP","7582.677","3968.504","TopLayer","270"
"D17","3SOT23","7409.449","3905.512","TopLayer","90"
"D18","LED_0603P_YELLOW","10027.559","7649.606","TopLayer","180"
"D23","POWERDI5","10870.079","7166.890","TopLayer","90"
"D24","LED_0603P_YELLOW","8236.220","7185.039","TopLayer","90"
"D26","LED_0603P_GREEN","11937.008","6137.795","TopLayer","90"
"D27","LED_0603P_AMBER","11885.827","6137.795","TopLayer","90"
"D28","LED_0603P_GREEN","12606.299","5842.520","TopLayer","0"
"D29","LED_0603P_AMBER","12606.299","5889.764","TopLayer","0"
"D30","LED_0603P_GREEN","12606.299","5740.158","TopLayer","0"
"D31","LED_0603P_AMBER","12606.299","5791.339","TopLayer","180"
"D32","LED_0603P_RED","6389.764","4188.977","TopLayer","180"
"D33","LED_0603P_GREEN","6389.765","4137.795","TopLayer","0"
"D38","SOD523","8456.693","4023.622","TopLayer","180"
"D39","SOD523","7740.158","3822.835","TopLayer","0"
"D42","SOD323","8635.827","3952.756","TopLayer","0"
"D45","3SOT23","12255.906","7043.307","TopLayer","180"
"D19A","LED_0603P_RED","7070.866","7488.189","TopLayer","270"
"D20A","ESMP","7039.370","7767.717","TopLayer","90"
"D21A","ESMP","7326.771","7767.717","TopLayer","90"
"D22A","LED_0603P_YELLOW","7196.850","7389.764","TopLayer","90"
"D25A","3SOT23","10385.827","4877.953","TopLayer","270"
"D34A","3SOT23","9389.764","4448.819","TopLayer","270"
"D35A","SOD523","8937.008","4417.323","TopLayer","0"
"D36A","SOD523","9019.685","4751.968","TopLayer","180"
"D43A","3SOT23","10649.606","4452.756","TopLayer","90"
"D44A","3SOT23","10649.606","4610.236","TopLayer","270"
"D19B","LED_0603P_RED","4433.071","7448.819","TopLayer","270"
"D20B","ESMP","4401.575","7728.346","TopLayer","90"
"D21B","ESMP","4688.976","7728.346","TopLayer","90"
"D22B","LED_0603P_YELLOW","4559.055","7350.394","TopLayer","90"
"D25B","3SOT23","14716.535","4917.323","TopLayer","270"
"D34B","3SOT23","10129.921","4448.819","TopLayer","270"
"D35B","SOD523","12401.575","4614.173","TopLayer","0"
"D36B","SOD523","12484.252","4948.819","TopLayer","180"
"D43B","3SOT23","10826.772","4452.756","TopLayer","90"
"D44B","3SOT23","10826.772","4610.236","TopLayer","270"
"D19C","LED_0603P_RED","4984.252","7448.819","TopLayer","270"
"D20C","ESMP","4952.756","7728.346","TopLayer","90"
"D21C","ESMP","5240.158","7728.346","TopLayer","90"
"D22C","LED_0603P_YELLOW","5110.236","7350.394","TopLayer","90"
"D35C","SOD523","13779.528","4614.173","TopLayer","0"
"D36C","SOD523","13862.205","4948.819","TopLayer","180"
"D43C","3SOT23","12885.827","4492.126","TopLayer","90"
"D44C","3SOT23","12885.827","4649.606","TopLayer","270"
"D43D","3SOT23","13062.992","4492.126","TopLayer","90"
"D44D","3SOT23","13062.992","4649.606","TopLayer","270"
"F1","EATON_ELV10-xx-2P","6141.733","5826.772","TopLayer","180"
"F2","EATON_ELV10-xx-2P","4881.889","5826.772","TopLayer","180"
"F3","BELFUSE_0ZRE0200FF","6535.433","7637.795","TopLayer","0"
"F4","EATON_ELV10-xx-2P","7401.575","5826.772","TopLayer","180"
"F5","BELFUSE_0ZRE0200FF","6535.433","6732.283","TopLayer","180"
"FB1","FB0402","12751.969","7027.559","TopLayer","90"
"FB3","FB0402","8933.071","5830.709","TopLayer","180"
"FB4","FB0402","9153.543","5437.008","TopLayer","270"
"FB5","FB0805","14420.274","6476.378","TopLayer","0"
"FB7","FB0805","14133.858","5562.992","TopLayer","0"
"FB9","FB0805","12236.220","5173.229","TopLayer","0"
"FB10","FB0805","12236.220","5984.252","TopLayer","0"
"FB11","FB0402","5500.001","3933.071","TopLayer","270"
"FB13","FB0402","9161.417","5236.221","TopLayer","0"
"FB15","FB0402","7196.850","4271.654","TopLayer","270"
"FB16","FB0402","13799.212","7169.292","TopLayer","270"
"FB12A","FB0402","9476.378","4614.173","TopLayer","270"
"FB12B","FB0402","10216.535","4614.173","TopLayer","270"
"H3","VICOR_HEATSINK_30183","0.000","0.000","TopLayer","0"
"H4","SMTSO-M3-2ET","8972.047","7321.614","TopLayer","0"
"H5","SMTSO-M3-2ET","9622.047","7321.614","TopLayer","0"
"H6","SMTSO-M3-2ET","10272.047","7321.614","TopLayer","0"
"H7","PRECI-DIP_15115-91-0710","8622.047","7086.614","TopLayer","0"
"H8","PRECI-DIP_15115-91-0710","10622.047","7086.614","TopLayer","0"
"H9","PRECI-DIP_15115-91-0710","8622.047","6811.614","TopLayer","0"
"H10","PRECI-DIP_15115-91-0710","10622.047","6686.614","TopLayer","0"
"H11","PRECI-DIP_15115-91-0710","8622.047","6561.614","TopLayer","0"
"H12","PRECI-DIP_15115-91-0710","8622.047","6286.614","TopLayer","0"
"H13","PRECI-DIP_15115-91-0710","10622.047","6286.614","TopLayer","0"
"H14","SMTSO-M3-2ET","8972.047","6051.614","TopLayer","0"
"H15","SMTSO-M3-2ET","9622.047","6051.614","TopLayer","0"
"H16","SMTSO-M3-2ET","10272.047","6051.614","TopLayer","0"
"J1","SAMTEC_FTSH-107-01-L-DV-K-A","13551.181","5740.158","TopLayer","0"
"J2","HIROSE_DM3BT","13347.441","8206.693","TopLayer","180"
"J3","WURTH_TERM_7461086","8031.496","6889.764","TopLayer","0"
"J4","WURTH_TERM_7461086","5748.032","5354.331","TopLayer","0"
"J5","WURTH_TERM_7461086","6535.433","5354.331","TopLayer","0"
"J6","WURTH_TERM_7461086","7007.874","5354.331","TopLayer","0"
"J7","AMASS_XT30UPB-M","10728.346","7929.134","TopLayer","0"
"J8","BELFUSE_V8BR-1AX1-GH","12010.110","4570.866","TopLayer","270"
"J9","WURTH_WR-FPC_1.00mm_686108183822","7850.394","8220.472","TopLayer","270"
"J11","CONN_USBC_UJ20-C-G-MSMT-TR-68","7429.134","3625.984","TopLayer","0"
"J12","TE_AMPSEAL_1-776163-1","10383.851","4027.308","TopLayer","0"
"J13","TE_AMPSEAL_1-776163-5","13454.719","4026.320","TopLayer","0"
"J14","GCT_RFPC-SMA14-FN-A","8594.488","3742.126","TopLayer","0"
"J15","MOLEX_MICROFIT_0436500416","14500.000","8361.417","TopLayer","0"
"J16","FTSH-105-01-L-DV-K_KEYED","5700.789","4452.755","TopLayer","0"
"J18","WURTH_TERM_7461086","7795.276","5354.331","TopLayer","0"
"J19","WURTH_TERM_7461086","4488.189","5354.331","TopLayer","0"
"J20","WURTH_TERM_7461086","5275.590","5354.331","TopLayer","0"
"J21","WURTH_TERM_7461086","4055.118","6732.283","TopLayer","0"
"K1","RELAY_P126","7205.708","7436.024","TopLayer","270"
"K2","RELAY_FTR-J2","5976.378","7295.276","TopLayer","270"
"K3","RELAY_P126","4882.874","7436.024","TopLayer","270"
"K4","6SMD300","10177.165","7937.008","TopLayer","270"
"K5","4SMD300","8366.142","7023.622","TopLayer","270"
"L1","SMD-4.1x4.1x2.0","14858.268","6515.748","TopLayer","90"
"L2","SMD-4.1x4.1x2.0","14551.181","6082.677","TopLayer","270"
"L3","SMD-4.1x4.1x2.0","14858.268","6082.677","TopLayer","270"
"L4","L0603_0.95MM","8621.063","4015.748","TopLayer","180"
"Q1","3SOT523","14259.842","6043.307","TopLayer","180"
"Q2","3SOT23","6255.907","4354.331","TopLayer","90"
"Q3","3SOT523","14389.764","6039.370","TopLayer","180"
"Q4","3SOT523","8096.457","8173.228","TopLayer","180"
"Q5","3SOT523","8096.457","8015.748","TopLayer","180"
"Q6","6SOT23","8665.354","4259.842","TopLayer","225"
"Q7","3SOT523","7740.158","4188.976","TopLayer","90"
"Q11A","3SOT23","10649.606","4744.095","TopLayer","90"
"Q11B","3SOT23","10826.772","4744.095","TopLayer","90"
"Q11C","3SOT23","12885.827","4783.465","TopLayer","90"
"Q11D","3SOT23","13062.992","4783.465","TopLayer","90"
"R1","R0402","13448.819","6456.693","TopLayer","180"
"R2","R0402","13358.268","6255.906","TopLayer","90"
"R3","R0402","13240.157","6255.906","TopLayer","90"
"R4","R0402","12637.795","6673.228","TopLayer","0"
"R5","R0402","12637.795","6712.599","TopLayer","0"
"R6","R0402","12846.457","6255.906","TopLayer","90"
"R7","R0402","12901.575","7027.559","TopLayer","270"
"R8","R0402","12637.795","6909.449","TopLayer","180"
"R9","R0402","12637.795","6830.709","TopLayer","0"
"R10","R0402","12688.976","6255.906","TopLayer","90"
"R11","R0402","12716.535","7027.559","TopLayer","270"
"R12","R0402","12637.795","6870.079","TopLayer","180"
"R13","R0402","12767.717","6255.905","TopLayer","90"
"R14","R0402","12807.087","6255.906","TopLayer","90"
"R15","R0402","12637.795","6555.118","TopLayer","0"
"R16","R0402","12637.795","6515.748","TopLayer","0"
"R17","R0402","12885.827","6255.905","TopLayer","90"
"R18","R0402","13086.614","6255.905","TopLayer","90"
"R19","R0402","13448.819","6889.764","TopLayer","180"
"R20","R0805","13413.386","5555.118","TopLayer","180"
"R21","R0402","13448.819","6732.283","TopLayer","180"
"R22","R0402","13448.819","5937.008","TopLayer","270"
"R23","R0402","13448.819","6811.024","TopLayer","180"
"R24","R0402","12637.795","6791.339","TopLayer","0"
"R25","R0402","13448.819","6850.394","TopLayer","180"
"R26","R0402","13500.000","5937.008","TopLayer","270"
"R27","R0402","12980.315","7027.559","TopLayer","270"
"R28","R0402","13448.819","6929.134","TopLayer","180"
"R29","R0402","13448.819","6968.504","TopLayer","180"
"R30","R0402","13610.236","5937.008","TopLayer","90"
"R31","R0402","12637.795","6476.378","TopLayer","0"
"R32","R0402","13649.606","5937.008","TopLayer","270"
"R33","R0402","13448.819","6692.913","TopLayer","180"
"R34","R0402","12637.795","6437.008","TopLayer","0"
"R35","R0402","13448.819","6771.654","TopLayer","180"
"R36","R0402","13448.819","6653.543","TopLayer","180"
"R37","R0402","12637.795","6633.858","TopLayer","0"
"R38","R0402","13448.819","6614.173","TopLayer","180"
"R39","R0402","13429.134","7208.662","TopLayer","0"
"R40","R0402","12925.197","6255.905","TopLayer","90"
"R41","R0402","13000.000","6255.905","TopLayer","90"
"R42","R0402","13098.425","7027.559","TopLayer","90"
"R43","R0402","12637.795","6594.488","TopLayer","0"
"R44","R0402","13397.638","6255.906","TopLayer","90"
"R45","R0402","13448.819","6377.953","TopLayer","180"
"R46","R0402","12940.945","7027.559","TopLayer","270"
"R47","R0402","13122.047","6255.906","TopLayer","90"
"R48","R0402","13161.417","6255.906","TopLayer","90"
"R49","R0402","13448.819","6338.583","TopLayer","180"
"R50","R0402","13448.819","6417.323","TopLayer","180"
"R51","R0402","13448.819","6496.063","TopLayer","180"
"R52","R0402","12787.402","7027.559","TopLayer","90"
"R53","R0402","13192.913","7027.559","TopLayer","270"
"R54","R0402","13562.992","6771.654","TopLayer","0"
"R55","R0402","13145.669","7027.559","TopLayer","90"
"R56","R0402","13551.181","5937.008","TopLayer","270"
"R57","R0402","14267.717","5976.378","TopLayer","180"
"R58","R0402","14267.717","6106.299","TopLayer","180"
"R59","R0402","14244.094","5783.465","TopLayer","90"
"R60","R0402","14992.126","6314.961","TopLayer","0"
"R61","R0402","14311.024","5783.465","TopLayer","90"
"R62","R0805","14538.385","6484.252","TopLayer","270"
"R63","R0402","14381.890","5972.441","TopLayer","180"
"R64","R0402","14992.126","6275.591","TopLayer","180"
"R65","R0402","14992.126","6393.701","TopLayer","180"
"R66","R0402","14992.126","6354.331","TopLayer","180"
"R67","R0402","14374.016","5748.032","TopLayer","180"
"R68","R0402","14381.890","6102.362","TopLayer","180"
"R69","R0402","14452.756","6413.386","TopLayer","180"
"R70","R0402","14452.756","6374.016","TopLayer","0"
"R71","R0402","14452.756","6334.646","TopLayer","180"
"R72","R0402","14708.661","5956.693","TopLayer","90"
"R73","R0402","14452.756","6255.906","TopLayer","0"
"R74","R0402","9208.662","5677.165","TopLayer","0"
"R75","R0402","9204.724","5496.063","TopLayer","0"
"R76","R0402","9208.662","5779.528","TopLayer","0"
"R77","R0402","9181.102","5582.677","TopLayer","90"
"R78","R0402","9086.614","5850.394","TopLayer","270"
"R79","R0402","8779.528","5830.709","TopLayer","0"
"R80","VISHAY_WSL2726","6135.827","5118.110","TopLayer","270"
"R81","R0402","14452.756","6295.276","TopLayer","0"
"R82","TO-247-2_w_Ohmite_heatsink","5973.878","6423.748","TopLayer","180"
"R83","VISHAY_WSL2726","7395.669","5118.110","TopLayer","270"
"R84","TO-247-2_w_Ohmite_heatsink","5978.878","8151.055","TopLayer","0"
"R85","R1206","8405.512","6728.347","TopLayer","270"
"R86","R0402","14992.126","6236.220","TopLayer","0"
"R87","R0402","8405.512","6625.984","TopLayer","180"
"R88","R0402","8405.512","6586.614","TopLayer","180"
"R89","VISHAY_WSL2726","4009.842","5610.236","TopLayer","270"
