"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"R36","R0402","9633.858","3740.157","TopLayer","0"
"R37","R0402","9633.858","3818.898","TopLayer","0"
"R38","R0402","9633.858","3897.638","TopLayer","0"
"R39","R2512","12204.724","4409.449","BottomLayer","90"
"R40","R0402","9633.858","3700.787","TopLayer","0"
"R41","R0402","9633.858","3779.528","TopLayer","0"
"R42","R0402","9633.858","3858.268","TopLayer","0"
"R43","R0402","9633.858","3937.008","TopLayer","0"
"R44","R2512","11417.323","4409.449","BottomLayer","270"
"R45","R0402","10744.094","3714.567","TopLayer","180"
"R46","R0402","13169.291","3080.709","TopLayer","180"
"R47","R2512","13228.346","3267.716","BottomLayer","270"
"R48","R2512","12637.795","3267.716","BottomLayer","90"
"R49","R0402","10744.094","3773.622","TopLayer","180"
"R50","R0402","14074.803","3080.709","TopLayer","180"
"R51","R2512","13228.346","4409.449","BottomLayer","90"
"R52","R2512","14015.748","4409.449","BottomLayer","270"
"R53","R0402","10744.094","3832.677","TopLayer","180"
"R54","R0402","14980.315","3080.709","TopLayer","180"
"R55","R2512","14448.819","3267.716","BottomLayer","270"
"R56","R2512","15039.370","3267.716","BottomLayer","90"
"R57","R0402","10744.094","3891.732","TopLayer","180"
"R58","R0402","15885.827","3080.709","TopLayer","180"
"R59","R2512","15826.772","4409.449","BottomLayer","90"
"R60","R2512","15039.370","4409.449","BottomLayer","270"
"R61","R0402","10744.094","3950.787","TopLayer","180"
"R62","R0402","16791.339","3080.709","TopLayer","180"
"R63","R0402","4539.370","4267.717","TopLayer","180"
"R64","R0402","4618.110","4267.717","TopLayer","180"
"R65","R0402","4696.850","4267.717","TopLayer","180"
"R66","R2512","16259.843","3267.716","BottomLayer","270"
"R67","R0402","8905.512","4057.087","TopLayer","0"
"R68","R2512","16850.394","3267.716","BottomLayer","90"
"R69","R0402","10744.094","4009.842","TopLayer","180"
"R70","R0402","17696.850","3080.709","TopLayer","180"
"R71","R2512","16732.284","4409.449","BottomLayer","90"
"R72","R2512","17283.465","4409.449","BottomLayer","270"
"R73","R0402","10744.094","4068.898","TopLayer","180"
"R74","R0402","18602.362","3080.709","TopLayer","180"
"R75","R2512","18661.417","3267.716","BottomLayer","270"
"R76","R2512","18070.866","3267.716","BottomLayer","90"
"R77","R0402","10744.094","4127.953","TopLayer","180"
"R78","R2512","17795.276","4409.449","BottomLayer","90"
"R79","R2512","18228.346","4409.449","BottomLayer","270"
"R80A","R0402","18110.236","3779.528","BottomLayer","0"
"R81A","R0603","18031.496","3818.898","BottomLayer","270"
"R82A","R0402","18110.236","3858.268","BottomLayer","0"
"R80B","R0402","5334.646","3858.268","BottomLayer","180"
"R81B","R0603","5413.386","3818.898","BottomLayer","90"
"R82B","R0402","5334.646","3779.528","BottomLayer","180"
"T1A","CHOKE_ACT1210D-131-2P-TL00","18503.937","3818.898","BottomLayer","0"
"T1B","CHOKE_ACT1210D-131-2P-TL00","4921.260","3818.898","BottomLayer","180"
"U1","TI_PAP0064F","10019.685","3818.898","TopLayer","90"
