"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Layer","Rotation"
"C55G","C0603","12138.772","4262.433","TopLayer","270"
"C37H","TANT_3.5MMX2.8MMX1.9MM","11666.331","3451.410","TopLayer","0"
"C38H","C0603","11772.630","3990.780","TopLayer","0"
"C39H","TANT_3.5MMX2.8MMX1.9MM","11666.331","3585.268","TopLayer","0"
"C40H","C1206","11666.331","3337.236","TopLayer","0"
"C41H","C0603","11721.449","4085.268","TopLayer","90"
"C54H","C0402","11351.370","4167.945","TopLayer","180"
"C55H","C0603","11508.850","4262.433","TopLayer","270"
"C37I","TANT_3.5MMX2.8MMX1.9MM","11036.409","3451.410","TopLayer","0"
"C38I","C0603","11142.709","3990.780","TopLayer","0"
"C39I","TANT_3.5MMX2.8MMX1.9MM","11036.409","3585.268","TopLayer","0"
"C40I","C1206","11036.409","3337.236","TopLayer","0"
"C41I","C0603","11091.528","4085.268","TopLayer","90"
"C54I","C0402","10721.449","4167.945","TopLayer","180"
"C55I","C0603","10878.929","4262.433","TopLayer","270"
"C37J","TANT_3.5MMX2.8MMX1.9MM","10406.488","3451.410","TopLayer","0"
"C38J","C0603","10512.788","3990.780","TopLayer","0"
"C39J","TANT_3.5MMX2.8MMX1.9MM","10406.488","3585.268","TopLayer","0"
"C40J","C1206","10406.488","3337.236","TopLayer","0"
"C41J","C0603","10461.606","4085.268","TopLayer","90"
"C54J","C0402","10091.528","4167.945","TopLayer","180"
"C55J","C0603","10249.008","4262.433","TopLayer","270"
"C37K","TANT_3.5MMX2.8MMX1.9MM","9500.976","3451.410","TopLayer","0"
"C38K","C0603","9607.276","3990.780","TopLayer","0"
"C39K","TANT_3.5MMX2.8MMX1.9MM","9500.976","3585.268","TopLayer","0"
"C40K","C1206","9500.976","3337.236","TopLayer","0"
"C41K","C0603","9556.095","4085.268","TopLayer","90"
"C54K","C0402","9186.016","4167.945","TopLayer","180"
"C55K","C0603","9343.496","4262.433","TopLayer","270"
"C37L","TANT_3.5MMX2.8MMX1.9MM","8634.835","3451.410","TopLayer","0"
"C38L","C0603","8741.134","3990.780","TopLayer","0"
"C39L","TANT_3.5MMX2.8MMX1.9MM","8634.835","3585.268","TopLayer","0"
"C40L","C1206","8634.835","3337.236","TopLayer","0"
"C41L","C0603","8689.953","4085.268","TopLayer","90"
"C54L","C0402","8319.874","4167.945","TopLayer","180"
"C55L","C0603","8477.354","4262.433","TopLayer","270"
"C37M","TANT_3.5MMX2.8MMX1.9MM","7729.323","3451.410","TopLayer","0"
"C38M","C0603","7835.622","3990.780","TopLayer","0"
"C39M","TANT_3.5MMX2.8MMX1.9MM","7729.323","3585.268","TopLayer","0"
"C40M","C1206","7729.323","3337.236","TopLayer","0"
"C41M","C0603","7784.441","4085.268","TopLayer","90"
"C54M","C0402","7414.362","4167.945","TopLayer","180"
"C55M","C0603","7571.842","4262.433","TopLayer","270"
"C37N","TANT_3.5MMX2.8MMX1.9MM","6823.811","3451.410","TopLayer","0"
"C38N","C0603","6930.110","3990.780","TopLayer","0"
"C39N","TANT_3.5MMX2.8MMX1.9MM","6823.811","3585.268","TopLayer","0"
"C40N","C1206","6823.811","3337.236","TopLayer","0"
"C41N","C0603","6878.929","4085.268","TopLayer","90"
"C54N","C0402","6508.850","4167.945","TopLayer","180"
"C55N","C0603","6666.331","4262.433","TopLayer","270"
"C37O","TANT_3.5MMX2.8MMX1.9MM","5918.299","3451.410","TopLayer","0"
"C38O","C0603","6024.599","3990.780","TopLayer","0"
"C39O","TANT_3.5MMX2.8MMX1.9MM","5918.299","3585.268","TopLayer","0"
"C40O","C1206","5918.299","3337.236","TopLayer","0"
"C41O","C0603","5973.417","4085.268","TopLayer","90"
"C54O","C0402","5603.339","4167.945","TopLayer","180"
"C55O","C0603","5760.819","4262.433","TopLayer","270"
"C37P","TANT_3.5MMX2.8MMX1.9MM","5012.787","3451.410","TopLayer","0"
"C38P","C0603","5119.087","3990.780","TopLayer","0"
"C39P","TANT_3.5MMX2.8MMX1.9MM","5012.787","3585.268","TopLayer","0"
"C40P","C1206","5012.787","3337.236","TopLayer","0"
"C41P","C0603","5067.906","4085.268","TopLayer","90"
"C54P","C0402","4697.827","4167.945","TopLayer","180"
"C55P","C0603","4855.307","4262.433","TopLayer","270"
"D1","LED_RGB_SMD3528-4P","18480.315","5362.205","TopLayer","180"
"D2","SMA","19811.024","3421.260","TopLayer","180"
"D6","LED_0603P_YELLOW","19055.118","2539.370","TopLayer","90"
"D9","SOD323","19736.220","2622.047","TopLayer","90"
"D3A","SOD123W","16209.638","3849.047","TopLayer","90"
"D4A","SMA","15780.504","3982.905","TopLayer","90"
"D7A","SMA","15906.488","3530.150","TopLayer","270"
"D17A","3SOT23","19787.402","3633.858","TopLayer","0"
"D3B","SOD123W","15579.717","3849.047","TopLayer","90"
"D4B","SMA","15150.583","3982.905","TopLayer","90"
"D7B","SMA","15276.567","3530.150","TopLayer","270"
